"Message ID","Date","Event","Instrument","Action","Transect","Station","Cast","Latitude","Longitude","Seafloor","Author","Comment","Cruise","R2R_Event","dateTimeUTC","GPS_Time","dateTime8601","Revisions"
24,Sat  08 Jun 2024 13:48:15 +0000,"20240608.1348.001","CTD911","recover",,"P4",," 36.000392"," -74.673924","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,,"RR2407-SE-20240608.1348.001","20240608.1348","2024/06/08 13:48:13","2024-06-08T13:48:15+00:00"," & Sat Jun  8 14:06:29 2024"
27,Sat  08 Jun 2024 18:10:00 +0000,"20240608.1809.001","CTD911","deploy","NaN","C1","NaN"," 36.051845"," -74.706445","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","20240608.1809.001","20240608.1810","2024/06/08 18:09:59","2024-06-08T18:10:00+00:00",
28,Sat  08 Jun 2024 18:33:47 +0000,"20240608.1833.001","CTD911","maxDepth","NaN","C1","NaN"," 36.051957"," -74.706422","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","20240608.1833.001","20240608.1833","2024/06/08 18:33:46","2024-06-08T18:33:47+00:00",
29,Sat  08 Jun 2024 18:53:54 +0000,"20240608.1853.001","CTD911","recover","NaN","C1","NaN"," 36.051922"," -74.706417","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","20240608.1853.001","20240608.1853","2024/06/08 18:53:53","2024-06-08T18:53:54+00:00",
31,Sat  08 Jun 2024 21:25:37 +0000,"20240608.2125.001","CTD911","maxDepth","NaN","P1","NaN"," 36.234388"," -74.364795","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel",,,"RR2407-SE-20240608.2125.001","20240608.2125","2024/06/08 21:25:39","2024-06-08T21:25:37+00:00"," & Sat Jun  8 21:37:32 2024 & Sat Jun  8 21:39:11 2024"
32,Sat  08 Jun 2024 21:36:22 +0000,"20240608.2136.001","CTD911","deploy","NaN","P1","NaN"," 36.234653"," -74.364544","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel",,,"20240608.2136.001","20240608.2047","2024/06/08 20:47:24","2024-06-08T20:47:25+00:00"," & Sat Jun  8 21:38:53 2024"
33,Sat  08 Jun 2024 22:02:02 +0000,"20240608.2202.001","CTD911","recover","NaN","P1","NaN"," 36.233307"," -74.366356","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel",,,"RR2407-SE-20240608.2202.001","20240608.2202","2024/06/08 22:02:00","2024-06-08T22:02:02+00:00"," & Sat Jun  8 22:03:39 2024"
38,Sun  09 Jun 2024 01:04:28 +0000,"20240609.0104.001","CTD911","deploy","NaN","P3","NaN"," 36.014409"," -74.186587","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel",,,"RR2407-SE-20240609.0104.001","20240609.0104","2024/06/09 01:04:30","2024-06-09T01:04:28+00:00"," & Sun Jun  9 02:46:03 2024"
39,Sun  09 Jun 2024 02:01:02 +0000,"20240609.0201.001","CTD911","maxDepth","NaN","P3","NaN"," 36.035768"," -74.165882","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel",,,"RR2407-SE-20240609.0201.001","20240609.0201","2024/06/09 02:01:00","2024-06-09T02:01:02+00:00"," & Sun Jun  9 02:46:41 2024"
40,Sun  09 Jun 2024 02:55:41 +0000,"20240609.0255.001","CTD911","recover","NaN","P3","NaN"," 36.049737"," -74.149173","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel",,,"RR2407-SE-20240609.0255.001","20240609.0255","2024/06/09 02:55:40","2024-06-09T02:55:41+00:00"," & Sun Jun  9 02:56:22 2024"
47,Sun  09 Jun 2024 16:04:29 +0000,"20240609.1603.001","CTD911","deploy","NaN","Shingle_station_6","NaN"," 38.001764"," -72.652962","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","20240609.1603.001","20240609.1604","2024/06/09 16:04:30","2024-06-09T16:04:29+00:00"," & Sun Jun  9 16:05:08 2024"
48,Sun  09 Jun 2024 16:12:04 +0000,"20240609.1612.001","CTD911","maxDepth","NaN","Shingle_station_6","NaN"," 38.005320"," -72.649862","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1","depth of 300m","RR2407","RR2407-SE-20240609.1612.001","20240609.1612","2024/06/09 16:12:05","2024-06-09T16:12:04+00:00"," & Sun Jun  9 16:12:56 2024"
49,Sun  09 Jun 2024 16:19:39 +0000,"20240609.1619.001","CTD911","recover","NaN","Shingle_station_6","NaN"," 38.007191"," -72.648233","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","RR2407-SE-20240609.1619.001","20240609.1619","2024/06/09 16:19:38","2024-06-09T16:19:39+00:00",
53,Sun  09 Jun 2024 19:09:13 +0000,"20240609.1909.001","CTD911","deploy","NaN","Shingle_Station_9","NaN"," 38.249071"," -72.462518","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel",,,"RR2407-SE-20240609.1909.001","20240609.1905","2024/06/09 19:05:41","2024-06-09T19:05:39+00:00"," & Sun Jun  9 19:31:00 2024"
54,Sun  09 Jun 2024 19:13:58 +0000,"20240609.1913.001","CTD911","maxDepth","NaN","Shingle_Station_9","NaN"," 38.249111"," -72.462403","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel","Depth of 300m",,"RR2407-SE-20240609.1913.001","20240609.1913","2024/06/09 19:13:31","2024-06-09T19:13:29+00:00"," & Sun Jun  9 19:31:28 2024 & Sun Jun  9 19:32:27 2024"
55,Sun  09 Jun 2024 19:23:28 +0000,"20240609.1923.001","CTD911","recover","NaN","Shingle_Station_9","NaN"," 38.249069"," -72.462455","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel",,,"RR2407-SE-20240609.1923.001","20240609.1921","2024/06/09 19:21:36","2024-06-09T19:21:34+00:00"," & Sun Jun  9 19:31:58 2024"
58,Sun  09 Jun 2024 22:09:23 +0000,"20240609.2209.001","CTD911","deploy","NaN","Shingle_Site_12","NaN"," 38.500606"," -72.270054","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel",,,"RR2407-SE-20240609.2209.001","20240609.2209","2024/06/09 22:09:22","2024-06-09T22:09:23+00:00"," & Sun Jun  9 22:12:12 2024"
59,Sun  09 Jun 2024 22:16:51 +0000,"20240609.2216.001","CTD911","maxDepth","NaN","Shingle_Site_12","NaN"," 38.500580"," -72.270039","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel","Depth of 300m",,"RR2407-SE-20240609.2216.001","20240609.2216","2024/06/09 22:16:52","2024-06-09T22:16:51+00:00"," & Sun Jun  9 22:17:29 2024 & Sun Jun  9 22:18:07 2024"
60,Sun  09 Jun 2024 22:25:05 +0000,"20240609.2225.001","CTD911","recover","NaN","Shingle_Station_12","NaN"," 38.500599"," -72.270055","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel",,,"RR2407-SE-20240609.2225.001","20240609.2225","2024/06/09 22:25:07","2024-06-09T22:25:05+00:00"," & Sun Jun  9 22:25:31 2024"
70,Mon  10 Jun 2024 11:19:00 +0000,"20240610.1116.001","CTD911","deploy","NaN","NESS1","NaN"," 39.496597"," -70.999629","No instruments found in /shipdata/cruise_cfg/current_cfg","lEnders",,"RR2407","20240610.1116.001","20240610.1112","2024/06/10 11:12:43","2024-06-10T11:12:45+00:00",
71,Mon  10 Jun 2024 11:32:43 +0000,"20240610.1124.001","CTD911","maxDepth","NaN","NESS1","NaN"," 39.496574"," -70.999627","No instruments found in /shipdata/cruise_cfg/current_cfg","lEnders",,"RR2407","20240610.1124.001","20240610.1132","2024/06/10 11:32:28","2024-06-10T11:32:30+00:00",
72,Mon  10 Jun 2024 11:52:59 +0000,"20240610.1134.001","CTD911","recover","NaN","NESS1","NaN"," 39.496587"," -70.999649","No instruments found in /shipdata/cruise_cfg/current_cfg","lEnders",,"RR2407","20240610.1134.001","20240610.1151","2024/06/10 11:51:48","2024-06-10T11:51:49+00:00",
73,Mon  10 Jun 2024 13:40:22 +0000,"20240610.1339.001","CTD911","deploy","NaN","NESS2","NaN"," 39.666465"," -70.999407","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","20240610.1339.001","20240610.1340","2024/06/10 13:40:21","2024-06-10T13:40:22+00:00",
74,Mon  10 Jun 2024 14:00:04 +0000,"20240610.1359.001","CTD911","maxDepth","NaN","NESS2","NaN"," 39.666528"," -70.999372","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1","1000 m ","RR2407","20240610.1359.001","20240610.1400","2024/06/10 14:00:03","2024-06-10T14:00:04+00:00",
75,Mon  10 Jun 2024 14:19:24 +0000,"20240610.1418.001","CTD911","recover","NaN","NESS2","NaN"," 39.666544"," -70.999422","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","20240610.1418.001","20240610.1419","2024/06/10 14:19:23","2024-06-10T14:19:24+00:00",
76,Mon  10 Jun 2024 16:05:33 +0000,"20240610.1604.001","CTD911","deploy","NaN","NESS3","NaN"," 39.831594"," -70.999068","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","20240610.1604.001","20240610.1605","2024/06/10 16:05:32","2024-06-10T16:05:33+00:00",
77,Mon  10 Jun 2024 16:24:21 +0000,"20240610.1623.001","CTD911","maxDepth","NaN","NESS3","NaN"," 39.831580"," -70.999347","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","20240610.1623.001","20240610.1624","2024/06/10 16:24:20","2024-06-10T16:24:21+00:00",
78,Mon  10 Jun 2024 16:43:48 +0000,"20240610.1643.001","CTD911","recover","NaN","NESS3","NaN"," 39.831555"," -70.999347","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","RR2407-SE-20240610.1643.001","20240610.1643","2024/06/10 16:43:48","2024-06-10T16:43:48+00:00"," & Mon Jun 10 16:44:06 2024"
